"site";"buildings";"elevation";"farmland";"forest";"glacier";"grassland";"lakes";"northness";"rivers";"roads";"rocks";"shoreline";"slope";"structures";"wetlands";"x_lv95";"y_lv95";"kmx_lv03";"kmy_lv03";"Latitude";"Longitude";"x";"y";"id"
6164;1759;952;0;0.11;0;0.54;0;0.47;6285;807;0.19;0;23.3;0.11;0;2658500;1169499;658;169;46.67;8.2;658500;169500;"658500_169500"
6175;6649;976;0;0.34;0;0.5;0;0;3732;3716;0;0;10.9;0.03;126651;2658500;1206499;658;206;47.01;8.21;658500;206500;"658500_206500"
6181;4112;721;0;0.35;0;0.01;0;-0.17;1585;2667;0;0;2;0.41;0;2658500;1223499;658;223;47.16;8.21;658500;223500;"658500_223500"
6198;14426;347;0.14;0.45;0;0.06;0.02;-0.28;1633;4180;0;1113;5;0;24653;2658500;1272499;658;272;47.6;8.22;658500;272500;"658500_272500"
6161;7211;1302;0;0.15;0;0.63;0.01;-0.14;5041;3912;0;327;11.4;0.12;11313;2659500;1144499;659;144;46.45;8.21;659500;144500;"659500_144500"
7320;0;2619;0;0;0.1;0.18;0;-0.7;110;0;0.72;0;39.2;0;0;2659500;1158499;659;158;46.58;8.21;659500;158500;"659500_158500"
6426;116;2220;0;0;0;0.65;0;0.04;4427;0;0.34;106;28;0;0;2659500;1163499;659;163;46.62;8.22;659500;163500;"659500_163500"
6168;5375;1439;0;0.38;0;0.51;0;-0.62;3827;3556;0;180;16.5;0.02;17463;2659500;1177499;659;177;46.75;8.22;659500;177500;"659500_177500"
6191;9565;386;0.25;0.43;0;0.18;0;0.17;1711;3605;0;0;9;0.02;0;2659500;1257499;659;257;47.47;8.23;659500;257500;"659500_257500"
6194;2163;341;0.29;0.51;0;0.03;0;0.07;1960;1122;0;198;3.5;0.02;0;2659500;1264499;659;264;47.53;8.23;659500;264500;"659500_264500"
6483;1705;1747;0;0.57;0;0.13;0;0.02;3112;2430;0;0;28.2;0.26;0;2660500;1135499;660;135;46.37;8.22;660500;135500;"660500_135500"
6210;1905;1626;0;0.49;0;0.41;0;-0.3;1790;1082;0;0;20.3;0.07;0;2660500;1176499;660;176;46.74;8.23;660500;176500;"660500_176500"
6217;21560;674;0;0.18;0;0.69;0;-0.36;3647;7251;0;0;16.2;0.03;0;2660500;1194499;660;194;46.9;8.23;660500;194500;"660500_194500"
6231;9211;501;0.51;0.05;0;0.23;0.06;-0.25;0;4182;0;569;7.1;0.01;10011;2660500;1235499;660;235;47.27;8.24;660500;235500;"660500_235500"
6238;62331;386;0.26;0.14;0;0.18;0;-0.37;646;9051;0;108;6.2;0.05;0;2660500;1257499;660;257;47.47;8.24;660500;257500;"660500_257500"
6243;119986;320;0.28;0.02;0;0.03;0.08;0.15;1599;11689;0;3197;0.4;0.03;59766;2660500;1269499;660;269;47.57;8.24;660500;269500;"660500_269500"
6199;373;2341;0;0;0;0.92;0;-0.39;780;858;0.05;117;25;0.02;0;2661500;1137499;661;137;46.39;8.24;661500;137500;"661500_137500"
6202;93;1763;0;0.71;0;0.05;0;0.58;85;0;0;0;34.6;0.24;0;2661500;1144499;661;144;46.45;8.24;661500;144500;"661500_144500"
6203;9043;1532;0;0.22;0;0.52;0;-0.7;2045;1393;0;0;25.9;0.18;0;2661500;1147499;661;147;46.48;8.24;661500;147500;"661500_147500"
6211;15738;797;0;0.38;0;0.48;0;-0.32;2503;4946;0.01;0;22.3;0.05;0;2661500;1173499;661;173;46.71;8.24;661500;173500;"661500_173500"
6436;413;1511;0;0.51;0;0.38;0;0.59;1499;523;0;0;32.9;0.11;0;2661500;1187499;661;187;46.84;8.24;661500;187500;"661500_187500"
6221;637;1765;0;0.03;0;0.34;0;0.3;525;0;0.38;0;38.9;0.23;0;2661500;1203499;661;203;46.98;8.25;661500;203500;"661500_203500"
6438;9552;571;0.45;0.09;0;0.35;0;-0.21;1102;2606;0;0;2.5;0.01;0;2661500;1218499;661;218;47.11;8.25;661500;218500;"661500_218500"
6239;14271;373;0.22;0.56;0;0.08;0;0.17;1607;2505;0;0;6.3;0;0;2661500;1254499;661;254;47.44;8.25;661500;254500;"661500_254500"
6200;2168;1935;0;0.1;0;0.51;0;-0.29;3666;263;0.05;154;22.3;0.31;0;2662500;1136499;662;136;46.38;8.25;662500;136500;"662500_136500"
6222;4274;952;0;0.7;0;0.15;0;0.49;3057;3094;0;0;13.7;0.07;65770;2662500;1207499;662;207;47.02;8.26;662500;207500;"662500_207500"
6224;107151;482;0.04;0.1;0;0.29;0;-0.33;3544;10703;0;0;5.5;0.06;0;2662500;1213499;662;213;47.07;8.26;662500;213500;"662500_213500"
6225;69842;503;0.07;0.35;0;0.24;0.02;0.15;3582;8596;0;450;6.5;0.04;0;2662500;1215499;662;215;47.09;8.26;662500;215500;"662500_215500"
6439;39024;569;0.44;0.05;0;0.3;0;-0.03;1468;5994;0;0;3.6;0;0;2662500;1220499;662;220;47.13;8.26;662500;220500;"662500_220500"
6440;26587;686;0.56;0.13;0;0.17;0;0.08;1186;5187;0;0;5.4;0.01;0;2662500;1238499;662;238;47.29;8.26;662500;238500;"662500_238500"
