"site";"date";"survey";"time"
5851;2013-05-14;954;355
7158;2013-05-11;955;315
5725;2013-04-17;956;180
5725;2013-04-26;957;195
5725;2013-05-11;958;195
7135;2013-05-23;959;325
6738;2013-05-08;962;211
6398;2013-04-25;965;210
6398;2013-05-11;968;220
6398;2013-05-18;969;195
5919;2013-05-18;972;180
6190;2013-05-18;976;252
7181;2013-05-26;977;275
6431;2013-05-20;978;270
7285;2013-05-26;979;307
7136;2013-05-25;980;242
5780;2013-05-23;982;165
7185;2013-05-25;985;259
5284;2013-04-17;989;215
5284;2013-04-24;990;195
5284;2013-05-13;991;185
5385;2013-04-16;992;185
5385;2013-04-23;993;160
5385;2013-05-01;994;155
5488;2013-04-25;995;190
5488;2013-05-02;996;185
5488;2013-05-21;997;180
5713;2013-04-15;998;210
5713;2013-05-10;999;260
5713;2013-05-18;1000;255
5717;2013-04-16;1004;195
5717;2013-05-12;1005;275
5717;2013-05-20;1006;255
6174;2013-06-03;1021;215
6333;2013-04-15;1022;165
6333;2013-05-03;1023;150
6333;2013-05-16;1024;180
6389;2013-04-16;1025;150
6389;2013-05-05;1026;135
6389;2013-05-17;1027;150
5168;2013-04-15;1037;150
5168;2013-05-08;1038;210
6896;2013-04-13;1039;225
6896;2013-05-09;1040;250
6896;2013-05-25;1041;280
6188;2013-05-06;1048;210
5833;2013-05-25;1053;210
6985;2013-04-13;1065;165
6985;2013-05-05;1066;170
6750;2013-06-01;1068;300
5818;2013-05-20;1081;210
6969;2013-04-14;1082;205
6969;2013-05-04;1083;195
6969;2013-05-18;1084;180
6985;2013-05-26;1088;170
5949;2013-05-23;1091;210
6471;2013-04-15;1092;195
5930;2013-04-23;1096;175
5930;2013-05-05;1097;173
5930;2013-05-27;1098;160
5637;2013-05-20;1099;180
5637;2013-05-27;1100;210
6242;2013-05-19;1101;190
6471;2013-05-09;1112;160
6471;2013-05-28;1113;190
5886;2013-04-17;1123;180
5886;2013-05-05;1124;135
5886;2013-05-28;1125;195
6385;2013-04-15;1130;160
6385;2013-05-05;1131;190
6385;2013-05-18;1132;200
6244;2013-04-14;1142;210
6244;2013-05-11;1143;210
6244;2013-05-28;1144;215
6271;2013-04-14;1151;220
6271;2013-05-05;1152;250
6271;2013-05-20;1153;200
6450;2013-04-14;1161;190
6450;2013-05-05;1162;165
6450;2013-05-28;1163;195
5675;2013-04-17;1164;155
5857;2013-04-25;1172;270
5857;2013-05-12;1173;270
5857;2013-05-25;1174;270
5675;2013-05-05;1175;170
6236;2013-04-24;1177;210
6236;2013-05-28;1178;200
5675;2013-05-25;1179;175
6136;2013-04-14;1180;170
6136;2013-05-05;1181;170
6136;2013-05-30;1182;155
6761;2013-05-09;1183;300
6761;2013-05-20;1184;300
6761;2013-06-02;1185;300
6217;2013-04-17;1196;220
6217;2013-05-09;1199;230
6217;2013-05-27;1200;225
6818;2013-04-13;1204;175
6818;2013-05-05;1205;200
6818;2013-05-26;1206;175
7181;2013-06-03;1210;272
7136;2013-06-03;1212;242
5496;2013-05-01;1213;180
5496;2013-05-09;1214;180
5496;2013-05-29;1215;180
5357;2013-04-30;1216;240
5357;2013-05-08;1217;240
5357;2013-05-30;1218;240
7229;2013-05-14;1223;165
6334;2013-04-25;1230;260
6376;2013-04-25;1232;240
6376;2013-05-18;1233;205
6376;2013-06-03;1234;225
6334;2013-05-30;1243;260
5263;2013-04-17;1247;160
5263;2013-05-14;1248;150
6140;2013-04-15;1250;210
6140;2013-05-18;1251;180
6140;2013-06-02;1252;195
5263;2013-06-03;1253;145
6170;2013-05-14;1257;270
6170;2013-05-28;1258;330
5267;2013-04-21;1260;120
5267;2013-05-06;1261;130
5267;2013-05-20;1262;115
6682;2013-05-20;1272;300
5404;2013-05-02;1277;190
5404;2013-05-30;1278;200
5468;2013-04-13;1279;140
5468;2013-05-01;1280;170
5468;2013-05-18;1282;145
5894;2013-06-05;1297;225
5953;2013-06-05;1298;180
5953;2013-05-10;1299;190
5953;2013-04-25;1303;180
6460;2013-04-24;1324;225
6460;2013-05-08;1325;240
6460;2013-05-16;1327;180
5116;2013-04-21;1328;240
5729;2013-04-17;1337;120
5729;2013-05-15;1338;150
5729;2013-06-04;1339;190
6147;2013-04-14;1340;240
6147;2013-05-03;1341;240
6147;2013-05-26;1342;255
5233;2013-04-18;1348;150
5233;2013-04-25;1349;150
5233;2013-06-04;1350;125
6930;2013-06-04;1351;230
5708;2013-04-17;1360;250
5708;2013-05-07;1361;245
5708;2013-05-27;1362;290
5116;2013-05-08;1364;235
5116;2013-06-03;1369;200
6132;2013-06-05;1374;225
6285;2013-04-15;1375;165
6285;2013-05-01;1376;160
6285;2013-06-05;1377;180
6180;2013-04-18;1378;210
6180;2013-05-08;1379;185
6180;2013-06-06;1380;195
5240;2013-05-01;1391;180
5240;2013-05-08;1392;160
5240;2013-06-06;1393;145
6886;2013-04-26;1402;120
6886;2013-05-09;1403;175
6886;2013-06-05;1404;130
5718;2013-05-28;1407;260
5441;2013-06-02;1408;210
6494;2013-05-05;1422;170
6494;2013-06-07;1423;170
6470;2013-04-14;1429;260
6470;2013-05-05;1430;215
6470;2013-05-27;1431;260
5406;2013-04-24;1441;225
5406;2013-05-07;1442;225
5406;2013-05-27;1443;225
5782;2013-04-17;1447;180
5782;2013-04-24;1450;210
5782;2013-05-15;1452;180
7000;2013-04-23;1453;240
7000;2013-05-09;1454;210
7000;2013-06-06;1455;270
5669;2013-04-22;1456;310
5669;2013-05-09;1457;285
5669;2013-06-04;1458;330
6373;2013-04-25;1459;255
6373;2013-05-15;1460;275
6373;2013-06-07;1461;260
6273;2013-05-02;1462;260
5290;2013-04-28;1464;205
5290;2013-05-22;1465;190
5290;2013-06-05;1466;205
7132;2013-04-25;1467;270
7132;2013-05-23;1468;270
7132;2013-06-06;1469;245
6273;2013-05-14;1470;250
6273;2013-06-07;1471;250
7094;2013-04-16;1472;285
6738;2013-05-27;1477;210
7250;2013-05-24;1478;300
7233;2013-05-23;1479;300
7094;2013-05-04;1480;255
7094;2013-06-04;1481;265
6732;2013-04-25;1485;195
6732;2013-05-15;1486;200
6732;2013-06-06;1487;195
5878;2013-04-18;1492;195
5878;2013-05-20;1493;250
5878;2013-06-08;1494;230
6319;2013-04-25;1495;225
6319;2013-05-14;1496;225
6319;2013-06-07;1497;195
5921;2013-04-24;1498;140
5921;2013-05-11;1499;165
5921;2013-06-05;1500;170
5655;2013-06-12;1509;240
5889;2013-05-16;1511;210
5889;2013-05-30;1512;200
7135;2013-06-11;1513;284
7186;2013-06-10;1514;275
5180;2013-04-24;1515;158
5180;2013-05-06;1516;140
5180;2013-06-03;1517;135
7079;2013-04-17;1521;160
7079;2013-05-05;1522;165
5187;2013-04-25;1524;300
5187;2013-05-27;1525;300
5477;2013-04-16;1530;230
5477;2013-05-14;1531;225
5477;2013-06-03;1532;210
7079;2013-05-16;1533;165
5187;2013-06-07;1534;285
6274;2013-04-18;1540;185
6274;2013-05-06;1541;190
6274;2013-06-06;1542;180
6276;2013-05-05;1545;260
6276;2013-06-08;1546;245
5268;2013-05-11;1548;200
5268;2013-06-05;1549;205
5225;2013-04-24;1550;162
5225;2013-05-05;1551;150
5225;2013-06-08;1552;165
7139;2013-05-03;1562;245
7139;2013-05-18;1563;235
7139;2013-06-07;1564;235
6780;2013-05-05;1565;255
6780;2013-05-20;1566;255
6780;2013-06-05;1567;240
6185;2013-04-17;1577;205
6185;2013-05-03;1578;205
6185;2013-05-28;1579;200
5781;2013-04-21;1583;255
