"x"	"y"	"buildings"	"elevation"	"farmland"	"forest"	"glacier"	"grassland"	"lakes"	"northness"	"rivers"	"roads"	"rocks"	"shoreline"	"slope"	"structures"	"wetlands"
617500	184500	10229	845	0.19	0.2	0	0.51	0	-0.66	3986	2901	0	0	13.9	0.04	0
618500	184500	5397	853	0.12	0.4	0	0.41	0	-0.26	3866	3035	0	0	9.6	0.01	0
619500	184500	777	906	0.14	0.68	0	0.14	0	-0.65	2538	3001	0	0	7	0	0
620500	184500	13463	899	0.22	0.49	0	0.25	0	-0.65	4228	5009	0	0	7.4	0	0
621500	184500	1723	910	0.13	0.72	0	0.12	0	-0.26	4042	208	0	0	6.9	0	0
622500	184500	4466	920	0.2	0.53	0	0.24	0	-0.3	3924	3311	0	0	5.2	0	0
623500	184500	14887	932	0.21	0.07	0	0.57	0	0.1	2010	5863	0	164	7.6	0.01	0
624500	184500	7424	997	0.14	0.28	0	0.49	0	0.32	3777	2218	0	0	11.3	0.05	0
625500	184500	847	1051	0	0.87	0	0.12	0	0.48	5493	1000	0	0	12	0	0
626500	184500	174	1112	0	0.97	0	0	0	0.65	9172	1922	0.01	0	13.4	0	0
627500	184500	88	1164	0	0.98	0	0.02	0	0.73	8043	489	0	0	17.4	0	0
628500	184500	175	1215	0	0.83	0	0.16	0	0.34	5843	1770	0	0	18.7	0	0
629500	184500	971	1188	0	0.91	0	0.08	0	0.8	4473	1664	0	0	21.9	0	0
630500	184500	119	1191	0	0.87	0	0.11	0	0.68	4683	0	0	0	27.3	0.02	0
631500	184500	1139	1128	0	0.45	0	0.43	0	0.34	4747	1551	0	0	24	0.09	0
632500	184500	1896	1044	0	0.46	0	0.48	0	0.6	4088	2703	0	0	19.3	0.04	20841
633500	184500	3400	991	0	0.3	0	0.58	0	0.66	4951	2049	0	0	15.6	0.02	0
634500	184500	11182	975	0.01	0.2	0	0.64	0	0.57	5813	2343	0	0	13	0.05	0
635500	184500	10596	973	0	0.27	0	0.58	0	0.3	6968	1724	0	0	10.4	0.04	0
636500	184500	6771	969	0.04	0.1	0	0.78	0	0.2	5949	3717	0	0	8.2	0.02	0
637500	184500	3086	1077	0	0.29	0	0.59	0	-0.45	4630	2111	0.01	0	19.1	0.07	0
638500	184500	391	1453	0	0.43	0	0.32	0	-0.58	957	285	0.13	0	36.9	0.11	0
639500	184500	608	1647	0	0.27	0	0.52	0	-0.67	0	0	0.13	0	32.6	0.08	0
640500	184500	786	1455	0	0.24	0	0.65	0	-0.69	1192	1570	0.07	0	24.7	0.01	0
641500	184500	2635	1309	0	0.32	0	0.57	0	-0.23	4422	1155	0	0	15.2	0.04	56307
642500	184500	1550	1331	0	0.57	0	0.31	0	0.09	6596	2288	0	0	11.2	0.07	215863
643500	184500	546	1449	0	0.33	0	0.49	0	0.24	2749	1723	0.01	0	10.4	0.09	196487
644500	184500	4194	1458	0	0.41	0	0.49	0	0.74	4371	788	0	0	12.7	0.07	43672
645500	184500	3763	1363	0	0.21	0	0.67	0	0.55	4034	2715	0	227	11.9	0.05	27138
646500	184500	3632	1257	0	0.13	0	0.79	0	0.7	4065	3351	0	0	11	0.04	3667
647500	184500	4522	1270	0	0.21	0	0.68	0.01	0	5267	2052	0	47	13.9	0.04	18770
648500	184500	475	1359	0	0.53	0	0.42	0	-0.45	6103	1863	0	0	16.3	0.02	27999
649500	184500	636	1466	0	0.48	0	0.37	0	-0.3	4080	282	0.04	49	21.7	0.1	0
650500	184500	1680	1690	0	0.06	0	0.57	0	-0.05	2934	165	0.15	131	28.7	0.17	0
651500	184500	22	1739	0	0.11	0	0.47	0	0.05	311	58	0.36	0	31	0.06	0
652500	184500	773	1425	0	0.53	0	0.38	0	0.31	4944	1823	0	0	20.3	0.08	8494
653500	184500	656	1395	0	0.69	0	0.28	0	0.52	3289	0	0	0	27	0.03	16855
654500	184500	2017	1086	0	0.55	0	0.37	0	-0.34	1851	468	0	166	33.8	0.07	0
655500	184500	10683	716	0	0.1	0	0.28	0.5	-0.18	58	4415	0	2203	10.4	0.02	0
656500	184500	2241	937	0	0.72	0	0.06	0.12	0.19	67	2127	0.04	786	31.6	0.04	0
657500	184500	148	1634	0	0.39	0	0.46	0	0.17	0	0	0.08	0	39.2	0.07	0
658500	184500	549	1453	0	0.48	0	0.4	0	-0.08	623	1109	0.01	0	34.9	0.1	0
659500	184500	487	1122	0	0.66	0	0.27	0	0.09	3338	2098	0.02	0	30	0.01	0
660500	184500	577	1457	0	0.52	0	0.33	0	-0.14	1267	182	0.04	0	29.9	0.1	0
661500	184500	836	1893	0	0.01	0	0.89	0	0.03	23	0	0.06	0	29.5	0.03	0
662500	184500	0	1866	0	0.09	0	0.65	0	-0.23	0	0	0.22	0	36.7	0.04	0
663500	184500	163	1440	0	0.52	0	0.24	0	-0.35	1022	0	0.09	0	39.7	0.13	0
664500	184500	8073	1046	0	0.42	0	0.42	0	0.34	3916	2989	0	0	18.3	0.03	0
665500	184500	1016	1433	0	0.59	0	0.34	0	0.05	610	1244	0.01	0	30.4	0.04	0
666500	184500	279	1883	0	0.06	0	0.55	0	-0.14	404	0	0.28	0	35.3	0.11	0
667500	184500	0	2153	0	0	0	0.52	0	-0.22	1075	0	0.47	0	29.5	0	0
668500	184500	0	2361	0	0	0.05	0.17	0	0.05	0	0	0.78	0	37.5	0	0
669500	184500	0	1937	0	0	0.03	0.29	0	0.64	361	0	0.66	0	39.4	0.01	0
670500	184500	627	1555	0	0.23	0	0.56	0	0.67	361	393	0.04	0	28	0.16	0
671500	184500	4795	1395	0	0.24	0	0.5	0	0.7	958	1288	0.03	0	22.1	0.19	0
672500	184500	409	1304	0	0.46	0	0.42	0	0.44	0	435	0.02	0	20.8	0.08	73373
673500	184500	3590	1259	0	0.14	0	0.79	0	0.46	0	1071	0.01	204	8.7	0.01	30412
674500	184500	3096	1304	0	0.72	0	0.23	0	0.63	836	346	0	0	25.7	0.05	0
675500	184500	10981	1112	0	0.48	0	0.26	0	0.43	4187	4558	0.01	116	19.4	0.18	12414
676500	184500	7013	1119	0	0.4	0	0.27	0	-0.11	3848	3737	0.02	337	18.6	0.2	0
677500	184500	687	1480	0	0.56	0	0.3	0	-0.45	3589	193	0	0	35.5	0.12	0
678500	184500	891	1964	0	0.01	0	0.86	0	-0.54	1113	0	0.02	0	28.8	0.11	0
679500	184500	0	2022	0	0	0	0.97	0	-0.81	466	0	0.02	0	30.3	0.01	0
680500	184500	2901	1680	0	0	0	0.91	0	-0.56	3351	0	0.04	0	25.7	0.04	0
681500	184500	50	1725	0	0	0	0.56	0	0.19	1788	0	0.28	0	37.4	0.12	0
