"site";"buildings";"elevation";"farmland";"forest";"glacier";"grassland";"lakes";"northness";"rivers";"roads";"rocks";"shoreline";"slope";"structures";"wetlands";"x_lv95";"y_lv95";"kmx_lv03";"kmy_lv03";"Latitude";"Longitude";"id";"ID";"ent1.1";"ent1.2";"ent2";"x";"y";"optional"
"43";5164;4101;693;0.91;0;0;0.03;0;-0.43;406;1856;0;0;1.6;0.01;0;2517500;1157499;517;157;46.56;6.36;"517500_157500";43;2.24185152071695;29.0211580351979;158.068723183063;517500;157500;TRUE
"44";5168;65158;749;0.1;0.21;0;0.36;0;-0.47;0;9414;0;0;7.3;0.05;0;2518500;1161499;518;161;46.6;6.37;"518500_161500";44;2.00116335245218;26.1793455276628;121.758117274636;518500;161500;TRUE
"45";5174;35535;972;0;0.69;0;0.06;0;-0.79;0;4789;0.02;0;24.6;0.02;0;2518500;1174499;518;174;46.72;6.37;"518500_174500";45;1.79705314195311;17.8853691993581;84.1381368892542;518500;174500;TRUE
"46";5162;14263;378;0.16;0.23;0;0.19;0.19;-0.61;2106;4524;0;902;1.8;0.01;21261;2519500;1146499;519;146;46.46;6.39;"519500_146500";46;3.11770709629803;66.6850780476786;1672.48233477958;519500;146500;TRUE
"47";5165;3578;678;0.53;0.23;0;0.16;0;-0.03;3634;1163;0;0;3;0;200595;2519500;1159499;519;159;46.58;6.39;"519500_159500";47;2.13064442360819;31.5982634982188;106.010370943746;519500;159500;TRUE
"48";5169;2446;926;0;0.7;0;0.27;0;-0.37;1527;1335;0;0;13.2;0;0;2519500;1165499;519;165;46.64;6.39;"519500_165500";48;1.42558447745158;21.5397283163776;59.3090888067527;519500;165500;TRUE
"49";5175;10657;385;0.35;0.25;0;0.15;0.04;-0.49;1146;4526;0;411;2.1;0.01;0;2520500;1146499;520;146;46.47;6.4;"520500_146500";49;3.35108901318691;68.3862819382336;983.881235038481;520500;146500;TRUE
"50";5176;28315;458;0.05;0.14;0;0.19;0;-0.41;3034;5254;0;0;8.6;0.06;0;2520500;1149499;520;149;46.49;6.4;"520500_149500";50;1.69610299434997;62.5471770600228;110.977111249145;520500;149500;TRUE
"51";5177;1001;667;0.05;0.89;0;0.04;0;0.07;2227;1872;0;281;3.4;0;0;2520500;1158499;520;158;46.57;6.4;"520500_158500";51;2.14320656821696;34.0391652769041;112.873000201587;520500;158500;TRUE
"52";5180;2140;665;0.36;0.38;0;0.12;0;0.03;2648;2624;0;0;1.3;0.03;20422;2520500;1160499;520;160;46.59;6.4;"520500_160500";52;2.2099282417842;31.8383732503244;98.261136401552;520500;160500;TRUE
"53";5476;63564;441;0.26;0.01;0;0.28;0;-0.77;33;11282;0;0;3.1;0.01;0;2521500;1148499;521;148;46.48;6.42;"521500_148500";53;2.1662889858463;65.4888611544478;186.347574694385;521500;148500;TRUE
"54";5181;15600;849;0.28;0.2;0;0.39;0;-0.59;0;4360;0;0;7.9;0.03;0;2522500;1168499;522;168;46.66;6.43;"522500_168500";54;1.53674140982547;24.4463726517987;86.5753955882537;522500;168500;TRUE
"55";5436;12671;933;0.02;0.3;0;0.47;0;-0.72;0;4882;0;0;13.7;0.05;0;2522500;1176499;522;176;46.74;6.42;"522500_176500";55;1.41335678535682;18.8835726369506;35.9741920944128;522500;176500;TRUE
"56";5184;1247;1288;0;0.39;0;0.49;0;-0.85;0;262;0;0;13.4;0.12;0;2523500;1178499;523;178;46.75;6.44;"523500_178500";56;1.2559805564771;16.3564869799377;14.6906535634878;523500;178500;TRUE
"57";5182;285;580;0.88;0;0;0.07;0;0.14;425;1088;0;0;3.3;0.02;0;2525500;1161499;525;161;46.6;6.47;"525500_161500";57;2.44313785058648;32.1449894905152;106.810574448003;525500;161500;TRUE
"58";5178;32595;437;0.27;0.16;0;0.1;0;-0.36;1722;7283;0;0;7.3;0.02;0;2526500;1152499;526;152;46.52;6.48;"526500_152500";58;2.34159021287714;57.1964444097082;202.151163179885;526500;152500;TRUE
"59";5179;42686;538;0.56;0;0;0.12;0;-0.35;0;6667;0;64;3.7;0.01;0;2526500;1158499;526;158;46.57;6.48;"526500_158500";59;1.46982183320233;34.5089397770601;65.0270146536958;526500;158500;TRUE
"60";5438;929;1159;0;0.82;0;0.15;0;-0.02;0;2672;0;0;5.7;0.03;0;2526500;1197499;526;197;46.92;6.47;"526500_197500";60;0.955221838581147;12.5991291303835;39.2421734615965;526500;197500;TRUE
"61";5183;2450;548;0.43;0.43;0;0.1;0;0.09;1670;1072;0;0;7.3;0.01;0;2527500;1166499;527;166;46.65;6.49;"527500_166500";61;2.39410083177187;29.7020062982769;112.509863777007;527500;166500;TRUE
"62";5185;22778;660;0.52;0.1;0;0.23;0;-0.17;0;6059;0;0;7.3;0.02;0;2527500;1178499;527;178;46.75;6.49;"527500_178500";62;2.04030935004561;23.3780631145733;220.536677595892;527500;178500;TRUE
"63";5439;902;1213;0;0.67;0;0.27;0;-0.49;0;155;0;0;6.1;0.06;0;2527500;1200499;527;200;46.95;6.49;"527500_200500";63;0.234536620833985;12.9785862217232;7.70447537335644;527500;200500;TRUE
"64";5187;79;1148;0;0.93;0;0.05;0;-0.52;0;2021;0;0;25.9;0.01;0;2528500;1183499;528;183;46.8;6.5;"528500_183500";64;1.91776549543374;22.6772160228729;46.8336318495562;528500;183500;TRUE
"65";5437;1107;1113;0;0.69;0;0.22;0;0.03;1937;1208;0.01;0;19.4;0.05;0;2528500;1188499;528;188;46.84;6.5;"528500_188500";65;1.48481425360385;16.6591820525349;70.3317134795585;528500;188500;TRUE
"66";5190;11272;952;0;0.22;0;0.6;0;-0.07;652;3684;0;0;8.2;0.01;71263;2528500;1195499;528;195;46.91;6.5;"528500_195500";66;1.45064783339132;11.9205140075452;25.9190344811732;528500;195500;TRUE
"67";5188;0;611;0.82;0.13;0;0.01;0.01;0.07;132;1494;0;163;1.2;0;136271;2529500;1180499;529;180;46.77;6.52;"529500_180500";67;2.30214224603024;27.4906891287226;160.433191848059;529500;180500;TRUE
"68";5198;21526;433;0.16;0.39;0;0.28;0;0.07;3607;5082;0;113;7.2;0.05;0;2530500;1160499;530;160;46.59;6.53;"530500_160500";68;1.77936290534453;37.7936145422383;211.393965161586;530500;160500;TRUE
