"site";"date";"det";"time";"survey";"visit";"buildings";"elevation";"farmland";"forest";"glacier";"grassland";"lakes";"northness";"rivers";"roads";"rocks";"shoreline";"slope";"structures";"wetlands";"x_lv95";"y_lv95";"kmx_lv03";"kmy_lv03";"Latitude";"Longitude";"x";"y";"id"
6334;2013-05-30;1;260;1243;2;10549;521;0.17;0.35;0;0.35;0;-0.3;559;3172;0;0;15.5;0.03;7811;2685500;1267499;685;267;47.55;8.57;685500;267500;"685500_267500"
6334;2013-05-13;0;255;2622;3;10549;521;0.17;0.35;0;0.35;0;-0.3;559;3172;0;0;15.5;0.03;7811;2685500;1267499;685;267;47.55;8.57;685500;267500;"685500_267500"
6335;2014-04-22;1;270;5294;1;6485;411;0.08;0.53;0;0.18;0;0.21;1783;2720;0;0;15.8;0.02;0;2685500;1269499;685;269;47.57;8.57;685500;269500;"685500_269500"
6335;2014-05-08;1;285;5299;2;6485;411;0.08;0.53;0;0.18;0;0.21;1783;2720;0;0;15.8;0.02;0;2685500;1269499;685;269;47.57;8.57;685500;269500;"685500_269500"
6335;2014-05-28;1;285;5329;3;6485;411;0.08;0.53;0;0.18;0;0.21;1783;2720;0;0;15.8;0.02;0;2685500;1269499;685;269;47.57;8.57;685500;269500;"685500_269500"
6337;2013-04-22;0;210;898;1;1266;389;0.4;0.31;0;0.02;0;-0.01;730;2130;0;308;4.9;0;0;2689500;1277499;689;277;47.64;8.63;689500;277500;"689500_277500"
6337;2013-05-08;1;180;899;2;1266;389;0.4;0.31;0;0.02;0;-0.01;730;2130;0;308;4.9;0;0;2689500;1277499;689;277;47.64;8.63;689500;277500;"689500_277500"
6337;2013-06-05;0;165;3031;3;1266;389;0.4;0.31;0;0.02;0;-0.01;730;2130;0;308;4.9;0;0;2689500;1277499;689;277;47.64;8.63;689500;277500;"689500_277500"
6338;2013-05-01;1;180;1865;1;4598;446;0.88;0.01;0;0.04;0.01;-0.39;2408;2249;0;246;2.2;0.01;0;2681500;1283499;681;283;47.7;8.52;681500;283500;"681500_283500"
6338;2013-05-15;1;210;1868;2;4598;446;0.88;0.01;0;0.04;0.01;-0.39;2408;2249;0;246;2.2;0.01;0;2681500;1283499;681;283;47.7;8.52;681500;283500;"681500_283500"
6338;2013-06-06;0;195;1869;3;4598;446;0.88;0.01;0;0.04;0.01;-0.39;2408;2249;0;246;2.2;0.01;0;2681500;1283499;681;283;47.7;8.52;681500;283500;"681500_283500"
6339;2015-04-17;1;240;8486;1;1596;715;0.09;0.59;0;0.27;0;-0.51;0;2233;0;0;14.3;0.04;0;2685500;1288499;685;288;47.74;8.58;685500;288500;"685500_288500"
6339;2015-05-05;0;280;8498;2;1596;715;0.09;0.59;0;0.27;0;-0.51;0;2233;0;0;14.3;0.04;0;2685500;1288499;685;288;47.74;8.58;685500;288500;"685500_288500"
6339;2015-05-28;1;300;8507;3;1596;715;0.09;0.59;0;0.27;0;-0.51;0;2233;0;0;14.3;0.04;0;2685500;1288499;685;288;47.74;8.58;685500;288500;"685500_288500"
6340;2014-04-17;1;260;4648;1;1220;585;0.24;0.58;0;0.13;0;0;801;2480;0;120;6;0.01;13610;2686500;1284499;686;284;47.71;8.59;686500;284500;"686500_284500"
6340;2014-05-10;0;265;4677;2;1220;585;0.24;0.58;0;0.13;0;0;801;2480;0;120;6;0.01;13610;2686500;1284499;686;284;47.71;8.59;686500;284500;"686500_284500"
6340;2014-05-29;0;295;4708;3;1220;585;0.24;0.58;0;0.13;0;0;801;2480;0;120;6;0.01;13610;2686500;1284499;686;284;47.71;8.59;686500;284500;"686500_284500"
6342;2013-04-22;0;195;2150;1;3640;631;0.18;0.38;0;0.32;0;-0.32;1199;2110;0;0;18.1;0.08;0;2687500;1291499;687;291;47.77;8.61;687500;291500;"687500_291500"
6342;2013-05-06;0;180;2151;2;3640;631;0.18;0.38;0;0.32;0;-0.32;1199;2110;0;0;18.1;0.08;0;2687500;1291499;687;291;47.77;8.61;687500;291500;"687500_291500"
6342;2013-06-07;0;230;2152;3;3640;631;0.18;0.38;0;0.32;0;-0.32;1199;2110;0;0;18.1;0.08;0;2687500;1291499;687;291;47.77;8.61;687500;291500;"687500_291500"
6343;2013-04-30;0;160;2040;1;2371;682;0.58;0.03;0;0.25;0;-0.41;247;2309;0;0;11.1;0.09;0;2688500;1294499;688;294;47.8;8.62;688500;294500;"688500_294500"
6343;2013-05-14;0;180;2050;2;2371;682;0.58;0.03;0;0.25;0;-0.41;247;2309;0;0;11.1;0.09;0;2688500;1294499;688;294;47.8;8.62;688500;294500;"688500_294500"
6343;2013-06-08;0;240;2051;3;2371;682;0.58;0.03;0;0.25;0;-0.41;247;2309;0;0;11.1;0.09;0;2688500;1294499;688;294;47.8;8.62;688500;294500;"688500_294500"
6346;2014-04-24;0;270;5806;1;5272;1076;0;0.73;0;0.17;0;-0.67;4317;0;0;0;33.6;0.09;0;2693500;1114499;693;114;46.18;8.65;693500;114500;"693500_114500"
