number;channel;site;q;year;season
306;ENIL;AM;2;03;E
307;ENIL;AM;3;03;E
308;ENIL;AM;4;03;E
309;ENIL;AM;1;04;P
310;ENIL;AM;2;04;P
311;ENIL;AM;3;04;P
312;ENIL;AM;4;04;P
313;ENIL;AM;1;05;E
314;ENIL;AM;3;05;E
315;ENIL;AM;4;05;E
316;ENIL;AM;2;06;P
317;ENIL;AM;3;06;P
318;ENIL;AM;4;06;P
319;ENIL;AM;1;07;P
320;ENIL;AM;2;07;P
321;ENIL;AM;4;07;P
322;ENIL;AM;1;07;E
323;ENIL;AM;3;07;E
324;ENIL;AM;4;07;E
325;ENIL;AM;1;09;P
326;ENIL;AM;2;09;P
327;ENIL;AM;3;09;P
328;ENIL;AM;1;09;E
329;ENIL;AM;2;09;E
330;ENIL;AM;3;09;E
331;ENIL;AM;2;11;P
332;ENIL;AM;3;11;P
333;ENIL;AM;4;11;P
334;ENIL;AM;1;11;E
335;ENIL;AM;2;11;E
336;ENIL;AM;3;11;E
337;ENIL;AM;2;12;P
338;ENIL;AM;3;12;P
339;ENIL;AM;4;12;P
340;ENIL;AM;1;12;E
341;ENIL;AM;3;12;E
342;ENIL;AM;4;12;E
343;ENIL;AM;1;13;P
344;ENIL;AM;2;13;P
345;ENIL;AM;3;13;P
346;ENIL;AM;2;13;E
347;ENIL;AM;3;13;E
348;ENIL;AM;4;13;E
349;ENIL;AM;2;15;P
350;ENIL;AM;3;15;P
351;ENIL;AM;4;15;P
352;ENIL;AM;1;15;E
353;ENIL;AM;2;15;E
354;ENIL;AM;4;15;E
355;ENIL;AM;1;16;P
356;ENIL;AM;2;16;P
357;ENIL;AM;3;16;P
358;ENIL;AM;2;16;E
359;ENIL;AM;3;16;E
360;ENIL;AM;4;16;E
361;ENIL;AV;1;03;E
362;ENIL;AV;2;03;E
363;ENIL;AV;3;03;E
364;ENIL;AV;4;03;E
365;ENIL;AV;1;04;P
366;ENIL;AV;2;04;P
367;ENIL;AV;3;04;P
368;ENIL;AV;4;04;P
