"","Temperature","Treatment","Prey_start_density","Prey_end_density","Predator_start_density","Predator_end_density","Incubation_time"
"178",25,"predator",100,68.6945173333333,5,6,1.023775
"179",25,"predator",750,1503.49746133333,5,6,1.023775
"180",25,"predator",50,8.57537066666667,5,7,1.023775
"181",25,"predator",50,23.052910974359,5,7,1.023775
"182",25,"predator",100,221.433770666667,5,7,1.023775
"183",25,"predator",250,578.425536,5,7,1.023775
"184",25,"predator",250,291.837258666667,5,7,1.023775
"185",25,"predator",500,1236.501312,5,7,1.023775
"186",25,"predator",750,1150.45769066667,5,7,1.023775
"187",25,"predator",1000,2152.55536533333,5,7,1.023775
"188",25,"predator",100,159.147893333333,5,8,1.023775
"189",25,"predator",250,358.548149333333,5,8,1.023775
"190",25,"predator",500,1240.56011733333,5,8,1.023775
"191",25,"predator",750,1638.75028266667,5,8,1.023775
"192",25,"predator",2000,2748.68095466667,5,8,1.023775
"193",25,"predator",50,13.6899772903226,5,9,1.023775
"194",25,"predator",250,296.262272,5,9,1.023775
"195",25,"predator",250,188.658154666667,5,9,1.023775
"196",25,"predator",500,845.986256,5,9,1.023775
"197",25,"predator",750,1621.09600533333,5,9,1.023775
"198",25,"predator",750,1666.07855466667,5,9,1.023775
"199",25,"predator",1000,1862.121904,5,9,1.023775
"200",25,"predator",500,1190.34384533333,5,10,1.023775
"201",25,"predator",750,1389.53048,5,10,1.023775
"202",25,"predator",1000,1745.46939733333,5,10,1.023775
"203",25,"predator",1000,1671.63270933333,5,10,1.023775
"204",25,"predator",2000,2384.197184,5,10,1.023775
"205",25,"predator",500,974.510005333333,5,11,1.023775
"206",25,"predator",1000,1450.35152533333,5,11,1.023775
"207",25,"predator",2000,2461.36026133333,5,11,1.023775
"208",25,"predator",1000,2050.902128,5,13,1.023775
"209",25,"predator",2000,2753.50269333333,5,14,1.023775
"210",25,"predator",2000,2294.82717333333,5,14,1.023775
"211",25,"predator",4177,4098.75252266667,5,14,1.023775
"212",25,"predator",4177,4706.871424,5,14,1.023775
"213",25,"predator",2000,2334.484448,5,15,1.023775
"214",25,"predator",4177,4155.819936,5,16,1.023775
"215",25,"predator",4177,4163.38823466667,5,19,1.023775
"216",25,"predator",4177,4224.255056,5,20,1.023775
